"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2018","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2004","2004",36245,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2005","2005",36547,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2006","2006",36916,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2007","2007",37272,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2008","2008",37904,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2009","2009",38848,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2010","2010",39484,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2011","2011",39960,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2012","2012",40301,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2013","2013",40727,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2014","2014",41157,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2015","2015",41694,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2016","2016",42244,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2017","2017",42806,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2018","2018",43206,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2001","2001",129075,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2002","2002",129377,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2003","2003",130598,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2004","2004",131144,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2005","2005",132112,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2006","2006",133205,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2007","2007",135831,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2008","2008",139556,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2009","2009",142527,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2010","2010",144295,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2011","2011",144985,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2012","2012",148028,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2013","2013",151309,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2014","2014",154980,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2015","2015",159222,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2016","2016",164534,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2017","2017",170266,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10500","Bayside (A)","A","Annual","2018","2018",174378,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2001","2001",30425,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2002","2002",30790,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2003","2003",31056,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2004","2004",31406,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2005","2005",31608,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2006","2006",31829,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2007","2007",32183,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2008","2008",32367,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2009","2009",32620,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2010","2010",32962,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2011","2011",33128,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2012","2012",33288,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2013","2013",33430,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2014","2014",33562,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2015","2015",33713,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10550","Bega Valley (A)","A","Annual","2016","2016",33941,,
